datetime,symbol,open,high,low,close,volume
2026-01-01 01:00:00,BINANCE:ETHUSDT,2971.65,3010.0,2971.15,3004.19,136088.5207
2026-01-02 01:00:00,BINANCE:ETHUSDT,3004.19,3150.01,2992.49,3125.45,369891.2449
2026-01-03 01:00:00,BINANCE:ETHUSDT,3125.46,3136.71,3076.0,3127.11,134405.2258
2026-01-04 01:00:00,BINANCE:ETHUSDT,3127.11,3167.22,3118.75,3144.7,181576.0686
2026-01-05 01:00:00,BINANCE:ETHUSDT,3144.71,3265.66,3135.02,3224.99,382446.6618
2026-01-06 01:00:00,BINANCE:ETHUSDT,3224.99,3308.86,3183.27,3296.84,412503.5066
2026-01-07 01:00:00,BINANCE:ETHUSDT,3296.83,3296.84,3125.42,3168.72,321350.1225
2026-01-08 01:00:00,BINANCE:ETHUSDT,3168.72,3184.39,3054.65,3106.65,343616.1005
2026-01-09 01:00:00,BINANCE:ETHUSDT,3106.66,3148.41,3058.69,3088.4,274587.4533
2026-01-10 01:00:00,BINANCE:ETHUSDT,3088.4,3104.12,3077.99,3086.72,82341.0546
2026-01-11 01:00:00,BINANCE:ETHUSDT,3086.72,3147.27,3084.46,3123.45,149381.2965
2026-01-12 01:00:00,BINANCE:ETHUSDT,3123.46,3171.49,3065.55,3095.75,297373.4681
2026-01-13 01:00:00,BINANCE:ETHUSDT,3095.75,3367.79,3091.96,3325.82,457782.2816
2026-01-14 01:00:00,BINANCE:ETHUSDT,3325.83,3402.89,3280.48,3354.92,503440.0759
2026-01-15 01:00:00,BINANCE:ETHUSDT,3354.92,3384.19,3273.72,3318.69,389993.836
2026-01-16 01:00:00,BINANCE:ETHUSDT,3318.7,3326.79,3253.01,3296.28,223921.7876
2026-01-17 01:00:00,BINANCE:ETHUSDT,3296.28,3330.26,3283.96,3310.56,124325.0303
2026-01-18 01:00:00,BINANCE:ETHUSDT,3310.56,3368.82,3278.86,3284.03,173354.3026
2026-01-19 01:00:00,BINANCE:ETHUSDT,3284.04,3284.58,3165.38,3189.55,442540.5596
2026-01-20 01:00:00,BINANCE:ETHUSDT,3189.56,3200.5,2920.0,2939.88,518166.4787
2026-01-21 01:00:00,BINANCE:ETHUSDT,2939.88,3069.07,2866.11,2982.27,577812.596
2026-01-22 01:00:00,BINANCE:ETHUSDT,2982.28,3038.33,2906.02,2940.57,239013.59
